City,Country,Latitude,Longitude
Frankfurt,Germany,50.116667,8.683333
Freetown,Sierra Leone,8.484444,-13.234444
Funafuti,Tuvalu,-8.516667,179.2
Gaborone,Botswana,-24.658056,25.912222
Georgetown,Guyana,6.75,-58.25
Gitega,Burundi,-3.433333,29.9
Glasgow,Scotland,55.833333,-4.25
Guatemala City,Guatemala,14.616667,-90.516667
Guayaquil,Ecuador,-2.166667,-79.933333
Hamburg,Germany,53.55,10.033333
Hammerfest,Norway,70.633333,23.633333
Hanoi,Vietnam,21.028333,105.854167
Harare,Zimbabwe,-17.829167,31.052222
Harrisburg,USA/PA,40.269722,-76.875556
Hartford,USA/CT,41.7625,-72.674167
Havana,Cuba,23.133333,-82.383333
Helena,USA/MT,46.591111,-112.020278
Helsinki,Finland,60.166667,25
Ho Chi Minh City,Vietnam,10.8,106.65
Hobart,Tasmania,-42.866667,147.316667
Hong Kong,China,22.333333,114.183333
Honiara,Solomon Islands,-9.431944,159.955556
Honolulu,USA/HI,21.3,-157.816667
Houston,USA/TX,29.762778,-95.383056
Hyderabad,India,17.37,78.48
Indianapolis,USA/IN,39.768611,-86.158056
Iquique,Chile,-20.166667,-70.116667
Irkutsk,Russia,52.5,104.333333
Islamabad,Pakistan,33.693056,73.063889
Jackson,USA/MS,32.298889,-90.184722
Jakarta,Indonesia,-6.266667,106.8
Jefferson City,USA/MO,38.576667,-92.173611
Jerusalem,Israel,31.783333,35.216667
Johannesburg,South Africa,-26.2,28.066667
Juba,South Sudan,4.85,31.6
Kabul,Afghanistan,34.525278,69.178333
Kaiserslautern,Germany,49.444722,7.768889
Kampala,Uganda,0.313611,32.581111
Kansas City,USA/MO,39.099722,-94.578333
Kathmandu,Nepal,27.7172,85.324
Khartoum,Sudan,15.500556,32.56
Kiev,Ukraine,50.45,30.523333
Kigali,Rwanda,-1.943889,30.059444
Kingston,Jamaica,17.983333,-76.816667
Kingstown,Saint Vincent and the Grenadines,13.157778,-61.225
Kinshasa,Democratic Republic of the Congo,-4.3,15.283333
Kuala Lumpur,Malaysia,3.133333,101.7
Kuwait City,Kuwait,29.369722,47.978333
La Paz,Bolivia,-16.45,-68.366667
Lansing,USA/MI,42.733611,-84.546667
Las Vegas,USA/NV,36.175,-115.136389
Leeds,England,53.75,-1.5
Libreville,Gabon,0.390278,9.454167
Lilongwe,Malawi,-13.983333,33.783333
Lima,Peru,-12,-77.033333
Lincoln,USA/NE,40.808889,-96.678889
Lisbon,Portugal,38.733333,-9.15
Little Rock,USA/AR,34.736111,-92.33111
Liverpool,England,53.416667,-3
Ljubljana,Slovenia,46.05,14.5
Lobamba,Eswatini (Swaziland),-26.416667,31.166667
Lome,Togo,6.131944,1.222778
London,England,51.533333,-0.083333
Los Angeles,USA/CA,34.05,-118.25
Louisville,USA/KY,38.256111,-85.751389
Luanda,Angola,-8.838333,13.234444
Lusaka,Zambia,-15.416667,28.283333
Luxembourg City,Luxembourg,49.814444,6.131667
Lyons,France,45.75,4.833333
Madison,USA/WI,43.074722,-89.384167
Madrid,Spain,40.433333,-3.7
Majuro,Marshall Islands,7.083333,171.383333
Malabo,Equatorial Guinea,3.752064,8.7737
Male,Maldives,4.175278,73.508889
Managua,Nicaragua,12.136389,-86.251389
Manama,Bahrain,26.216667,50.583333
Manchester,England,53.5,-2.25
Manila,Philippines,14.583333,120.95
Maputo,Mozambique,-25.966667,32.583333
Marseilles,France,43.333333,5.333333
Maseru,Lesotho,-29.31,27.48
Mazatlan,Mexico,23.2,-106.416667
Mbabane,Eswatini (Swaziland),-26.316667,31.133333
Mecca,Saudi Arabia,21.483333,39.75
Medina,Saudi Arabia,24.466667,39.6
Melbourne,Australia,-37.783333,144.966667
Memphis,USA/TN,35.1175,-89.971111
Mexico City,Mexico,19.433333,-99.116667
Miami,USA/FL,25.775278,-80.208889
Milan,Italy,45.45,9.166667
Milwaukee,USA/WI,43.05,-87.95
Minneapolis,USA/MN,44.981944,-93.269167
Minsk,Belarus,53.9,27.566667
Mogadishu,Somalia,2.033333,45.333333
Monaco,Monaco,43.733333,7.416667
Monrovia,Liberia,6.313333,-10.801389
Montevideo,Uruguay,-34.883333,-56.166667
Montpelier,USA/VT,44.259444,-72.575833
Moroni,Comoros,-11.699,43.256
Moscow,Russia,55.75,37.6
Mumbai,India,18.975,72.825833
Munich,Germany,48.133333,11.583333
Muscat,Oman,23.588889,58.408333
Nagasaki,Japan,32.8,129.95
Nagoya,Japan,35.116667,136.933333
Nairobi,Kenya,-1.416667,36.916667
Nanjing,China,32.05,118.883333
Naples,Italy,40.833333,14.25
Nashville,USA/TN,36.162222,-86.774444
Nassau,Bahamas,25.066667,-77.333333
N'Djamena,Chad,12.1,16.033333
New Delhi,India,28.583333,77.2
New Orleans,USA/LA,29.95,-90.08
New York City,USA/NY,40.661,-73.944
Newcastle-on-Tyne,England,54.966667,-1.616667
Ngerulmud,Palau,7.500556,134.624167
Niamey,Niger,13.511667,2.125278
Nicosia,Cyprus,35.1725,33.365
Nouakchott,Mauritania,18.1,-15.95
Nuku'alofa,Tonga,-21.133333,-175.2
Nur-Sultan,Kazakhstan,51.166667,71.433333
Odessa,Ukraine,46.45,30.8
Oklahoma City,USA/OK,35.468611,-97.521389
Olympia,USA/WA,43.037778,-122.900833
Omaha,USA/NE,41.25,-96
Orlando,USA/FL,28.54,-81.38
Osaka,Japan,34.533333,135.5
Oslo,Norway,59.95,10.7
Ottawa,Canada,45.424722,-75.695
Ouagadougou,Burkina Faso,12.366667,-1.533333
Palikir,Federated States of Micronesia,6.917222,158.158889
Panama City,Panama,8.966667,-79.533333
Papeete,Tahiti,-17.535,-149.5696
Paramaribo,Suriname,5.75,-55.25
Paris,France,48.8,2.333333
Perth,Australia,-31.95,115.866667
Philadelphia,USA/PA,39.952778,-75.163611
Phnom Penh,Cambodia,11.569444,104.921111
Phoenix,USA/AZ,33.45,-112.066667
Pierre,USA/SD,44.3725,-100.32
Plymouth,England,50.416667,-4.083333
Podgorica,Montenegro,42.441286,19.262892
Port au Prince,Haiti,18.533333,-72.333333
Port Louis,Mauritius,-20.164444,57.504167
Port Moresby,Papua New Guinea,-9.416667,147.133333
Port of Spain,Trinidad and Tobago,10.666667,-61.516667
Port Vila,Vanuatu,-17.733333,168.316667
Portland,USA/OR,45.52,-122.681944
Porto Novo,Benin,6.497222,2.605
Prague,Czech Republic,50.083333,14.433333
Praia,Cape Verde,14.918,-23.509
Pretoria,South Africa,-25.746111,28.188056
Pristina,Kosovo,42.663333,21.162222
Providence,USA/RI,41.823611,-71.422222
Pyongyang,North Korea,39.019444,125.738056
Quito,Ecuador,-0.233333,-78.516667
Rabat,Morocco,34.020882,-6.84165
Raleigh,USA/NC,35.766667,-78.633333
Rangoon,Myanmar,16.833333,96
Reykjavik,Iceland,64.066667,-21.966667
Richmond,USA/VA,37.533333,-77.466667
Riga,Latvia,56.948889,24.106389
Rio de Janeiro,Brazil,-22.95,-43.2
Riyadh,Saudi Arabia,24.633333,46.716667
Rome,Italy,41.9,12.45
Roseau,Dominica,15.301389,-61.388333
Saint George's,Grenada,12.05,-61.75
Saint John's,Antigua and Barbuda,17.116667,-61.85
Saint Paul,USA/MN,44.944167,-93.093611
Salem,USA/OR,44.939167,-123.039444
Salt Lake City,USA/UT,40.760833,-111.891111
Salvador,Brazil,-12.933333,-38.45
San Francisco,USA/CA,37.7775,-122.416389
San Jose,Costa Rica,9.933333,-84.083333
San Marino,San Marino,43.933333,12.433333
San Salvador,El Salvador,13.698889,-89.191389
Sanaa,Yemen,15.348333,44.206389
Santa Fe,USA/NM,35.667222,-105.964444
Santiago,Chile,-33.466667,-70.75
Santo Domingo,Dominican Republic,18.466667,-69.95
Sao Paulo,Brazil,-23.516667,-46.516667
Sao Tome,Sao Tome and Principe,0.336111,6.730556
Sarajevo,Bosnia and Herzegovina,43.866667,18.416667
Seattle,USA/WA,47.609722,-122.333056
Seoul,South Korea,37.56,126.99
Shanghai,China,31.166667,121.466667
Singapore,Singapore,1.233333,103.916667
Sioux Falls,USA/SD,43.536389,-96.731667
Skopje,North Macedonia (Macedonia),42,21.433333
Sofia,Bulgaria,42.666667,23.333333
St. Louis,USA/MO,38.627222,-90.197778
St. Petersburg,Russia,59.933333,30.3
Stockholm,Sweden,59.283333,18.05
Suva,Fiji,-18.1416,178.4419
Sydney,Australia,-34,151
Taipei,Taiwan,25.066667,121.516667
Tallahassee,USA/FL,30.455,-84.253333
Tallinn,Estonia,59.437222,24.745278
Tananarive,Madagascar,-18.933333,47.516667
Tarawa Atoll,Kiribati,1.333333,173
Tashkent,Uzbekistan,41.3,69.266667
Tbilisi,Georgia,41.7225,44.7925
Tegucigalpa,Honduras,14.1,-87.216667
Teheran,Iran,35.75,51.75
Thimphu,Bhutan,27.472222,89.636111
Tirana,Albania,41.328889,19.817778
Tokyo,Japan,35.666667,139.75
Topeka,USA/KS,39.055833,-95.689444
Trenton,USA/NJ,40.223841,-74.763624
Tripoli,Libya,32.95,13.2
Tulsa,USA/OK,36.131389,-95.937222
Tunis,Tunisia,36.806389,10.181667
Ulaanbaatar,Mongolia,47.920278,106.917222
Vaduz,Liechtenstein,47.141,9.521
Valletta,Malta,35.898333,14.5125
Vatican City,Vatican City,41.9025,12.4525
Venice,Italy,45.433333,12.333333
Veracruz,Mexico,19.166667,-96.166667
Victoria,Seychelles,-4.6167,55.45
Vienna,Austria,48.233333,16.333333
Vientiane,Laos,17.966667,102.6
Vilnius,Lithuania,54.683333,25.283333
Vladivostok,Russia,43.166667,132
Warsaw,Poland,52.233333,21
Washington D.C.,USA/DC,38.9101,-77.0147
Wellington,New Zealand,-41.283333,174.783333
Wichita,USA/KS,37.688889,-97.336111
Windhoek,Namibia,-22.57,17.083611
Yamoussoukro,Cote d'Ivoire (Ivory Coast),6.85,-5.3
Yaounde,Cameroon,3.866667,11.516667
Yaren,Nauru,-0.533333,166.916667
Yerevan,Armenia,40.181389,44.514444
Zagreb,Croatia,45.816667,15.983333
Zurich,Switzerland,47.35,8.516667
